Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Raydiance,https://www.crunchbase.com/organization/raydiance,"Government and Military, Health Care, Manufacturing","Petaluma, California, United States","Raydiance develops, manufactures and markets precision manufacturing solutions enabled by femtosecond laser technology.","17,897",2004,Active,,For Profit,,,,,,,1,101-250,9,M&A,"Dec 15, 2016","$9,400,000",Venture - Series Unknown,"$9,400,000",Venture - Series Unknown,"$62,551,483","$73,576,091",1,5,Was Acquired,Private,,,,
GoodGuide,https://www.crunchbase.com/organization/goodguide,"Health Care, Internet Services, Mobile, Platforms, Software","San Francisco, California, United States","GoodGuide helps consumers find safe, healthy and green products by providing expert ratings for food, personal care products, and others.","18,052","Dec 1, 2007",Active,,,,,,,,,1,11-50,3,M&A,"Aug 26, 2011","$4,999,998",Private Equity,"$4,999,998",Private Equity,"$14,229,998","$14,229,998",3,4,Was Acquired,Private,,,,
Eventful,https://www.crunchbase.com/organization/eventful,"Events, Internet Services, Media and Entertainment","San Diego, California, United States",Eventful is a digital media company that powers the online ecosystem of local events and entertainment.,"19,015",2004,Active,,,,,,,,,1,51-100,3,M&A,"Oct 15, 2008","$10,000,000",Series C,"$10,000,000",Series C,"$19,600,000","$19,600,000",4,4,Was Acquired,Private,,,,
Servio,https://www.crunchbase.com/organization/servio,"Advertising, Data and Analytics, Sales and Marketing","San Francisco, California, United States","Servio offers content marketing services delivering web-optimized content and data solutions for eCommerce, publishing and big data sectors.","19,963","Apr 30, 2009",Active,,,,,,,,,2,11-50,2,M&A,"Mar 6, 2013","$4,256,180",Series B,"$4,256,180",Series B,"$9,356,180","$9,356,180",1,2,Was Acquired,Private,,,,
Emu Messenger,https://www.crunchbase.com/organization/emu-chat,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Science and Engineering, Software","Palo Alto, California, United States",Emu Messanger is an app for Android with a built-in assistant offering information and suggestions based on the users' personal interests.,"21,282","Feb 26, 2012",Active,,,,,,,,,2,1-10,1,M&A,"Jan 28, 2013","$1,500,000",Seed,"$1,500,000",Seed,"$1,500,000","$1,500,000",,4,Was Acquired,Private,,,,
Selligy,https://www.crunchbase.com/organization/selligy,"Events, Information Technology, Media and Entertainment, Messaging and Telecommunications, Mobile, Platforms, Sales and Marketing, Software, Travel and Tourism","Belmont, California, United States",Selligy is a mobile service enabling sales teams to be more productive.,"21,379",2011,Active,,,,,,,,,2,1-10,3,M&A,"Nov 13, 2013","$2,800,000",Series A,"$2,800,000",Series A,"$2,828,000","$2,828,000",1,4,Was Acquired,Private,,,,
ChinaCache,https://www.crunchbase.com/organization/chinacache,"Internet Services, Software","Beijing, Beijing, China",ChinaCache is a Chinese provider of content delivery networks and cloud-based services.,"21,975",1998,Active,,,,,,,,,1,1001-5000,6,IPO,"Mar 11, 2014","$55,000,000",Post-IPO Equity,"$55,000,000",Post-IPO Equity,"$118,500,000","$118,500,000",1,10,,Public,"Oct 8, 2010",,"$5,161,030,135","$84,247,622"
Spiral Genetics,https://www.crunchbase.com/organization/spiral-genetics,"Biotechnology, Data and Analytics, Internet Services, Science and Engineering, Software","Seattle, Washington, United States","A novel aligner/variant caller, Anchored Assembly, can detect large structural variations using short read NGS data.","21,981",2009,Active,,,,,,,,,1,11-50,3,M&A,"May 10, 2016","$350,000",Convertible Note,"$3,215,591",Series A,"$3,915,591","$4,265,591",1,3,Was Acquired,Private,,,,
Lawnmower,https://www.crunchbase.com/organization/lawnmower,"Apps, Financial Services, Payments, Software","San Francisco, California, United States","Bitcoin & Blockchain Investing, News & Market Data","22,025",Jan 2015,Active,,For Profit,,,,,,,3,1-10,1,M&A,"Apr 18, 2016","$190,000",Seed,"$190,000",Seed,"$190,000","$190,000",,4,Was Acquired,Private,,,,
Zonare Medical Systems,https://www.crunchbase.com/organization/zonare-medical-systems,"Health Care, Manufacturing","Mountain View, California, United States",Zonare Medical Systems develops compact ultrasound systems that are used for diagnostic imaging activities in clinical applications.,"22,226",1999,Active,,For Profit,,,,,,,,101-250,9,M&A,"Nov 18, 2010","$1,171,540",Venture - Series Unknown,"$1,171,540",Venture - Series Unknown,"$175,129,540","$189,651,276",1,13,Was Acquired,Private,,,,
Socialtext,https://www.crunchbase.com/organization/socialtext,Software,"Palo Alto, California, United States",Socialtext is a company that produces enterprise social software via its integrated suite of web-based social apps.,"22,483","Dec 1, 2002",Active,,For Profit,,,,,,,4,11-50,9,M&A,"May 1, 2012",,Undisclosed,,Undisclosed,"$47,620,000","$47,620,000",3,7,Was Acquired,Private,,,,
Meetup,https://www.crunchbase.com/organization/meetup,"Community and Lifestyle, Internet Services, Media and Entertainment","New York, New York, United States",Meetup's mission is to revitalize local community and help people around the world self-organize.,"23,132",Jan 2002,Active,,For Profit,,,,,,,4,101-250,5,M&A,"Feb 19, 2014",,Undisclosed,,Undisclosed,"$18,300,000","$18,300,000",3,8,"Made Acquisitions, Was Acquired",Private,,,,
Molecular Imprints,https://www.crunchbase.com/organization/molecular-imprints,"Biotechnology, Hardware, Science and Engineering","Austin, Texas, United States",Molecular Imprints offers nanopatterning systems and solutions for the hard disk drive and semiconductor sectors.,"24,016",2001,Active,,,,,,,,,1,51-100,5,M&A,"Apr 25, 2014","$18,810,000",Venture - Series Unknown,"$18,810,000",Venture - Series Unknown,"$53,500,000","$53,500,000",1,9,Was Acquired,Private,,,,
ViVu,https://www.crunchbase.com/organization/vivu,"Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video","Cupertino, California, United States",ViVu delivers videoconferencing solutions for people to communicate and collaborate effectively and productively over distances.,"24,373",Jan 2008,Active,,For Profit,,,,,,,3,11-50,3,M&A,"Jun 9, 2011",,Series B,,Series B,"$3,000,000","$3,000,000",2,7,Was Acquired,Private,,,,
Concept.io,https://www.crunchbase.com/organization/concept-io,"Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Mobile, Software","Mountain View, California, United States","Concept.io develops the application Swell Radio, which provides personalized audio, news and information based on users' interests.","24,951",2012,Active,,,,,,,,,1,11-50,3,M&A,"Jul 18, 2013","$5,400,000",Series A,"$5,400,000",Series A,"$7,200,000","$7,200,000",1,8,Was Acquired,Private,,,,
HDmessaging,https://www.crunchbase.com/organization/hdmessaging,"Data and Analytics, Internet Services, Mobile, Navigation and Mapping","Burlingame, California, United States","HD Messaging offers an API that enables mobile device OEMs, network operators, and app developers to build white label messaging services.","25,734",2011,Active,,,,,,,,,3,11-50,5,M&A,"Nov 13, 2013","$3,000,000",Series A,"$3,000,000",Series A,"$30,100,000","$30,100,000",5,7,"Made Acquisitions, Was Acquired",Private,,,,
Banyan Branch,https://www.crunchbase.com/organization/banyan-branch,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Software","Seattle, Washington, United States",Banyan Branch is a pure social media agency that enables brands and companies to harness the power of social media for their benefit.,"25,839","Nov 1, 2007",Active,,,,,,,,,1,10001+,1,M&A,"Oct 3, 2011","$1,700,000",Series A,"$1,700,000",Series A,"$1,700,000","$1,700,000",,8,Was Acquired,Private,,,,
SeaMicro,https://www.crunchbase.com/organization/seamicro,"Hardware, Information Technology, Internet Services, Software","Sunnyvale, California, United States",SeaMicrois develops solutions that address power inefficiencies in data centers.,"26,266",2007,Closed,"Apr 17, 2015",For Profit,,,,,,,3,51-100,2,M&A,"Jun 7, 2011","$20,000,000",Venture - Series Unknown,"$20,000,000",Venture - Series Unknown,"$35,000,000","$35,000,000",,2,Was Acquired,Private,,,,
BinOptics,https://www.crunchbase.com/organization/binoptics,"Design, Hardware, Manufacturing","Ithaca, New York, United States",BinOptics manufactures monolithically integrated optoelectronic components for datacom and telecommunications applications.,"26,451",2000,Active,,,,,,,,,1,51-100,7,M&A,"Nov 19, 2014","$1,800,000",Venture - Series Unknown,"$1,800,000",Venture - Series Unknown,"$40,146,000","$40,536,883",1,10,Was Acquired,Private,,,,
Luminus Devices,https://www.crunchbase.com/organization/luminus-devices,"Consumer Electronics, Hardware, Manufacturing","Billerica, Massachusetts, United States",Luminus Devices develops and manufactures LED solutions for the global illumination market.,"26,776",2002,Active,,,,,,,,,1,51-100,10,M&A,"Mar 1, 2013","$7,000,000",Debt Financing,"$1,500,000",Venture - Series Unknown,"$161,826,373","$168,826,373",,10,Was Acquired,Private,,,,
Brightkite,https://www.crunchbase.com/organization/brightkite,"Data and Analytics, Financial Services, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Navigation and Mapping, Platforms, Software","Burlingame, California, United States",Brightkite is a location-based social discovery network that allows users to 'check in' by using text messages or mobile apps.,"26,805",2007,Active,,For Profit,,,,,,,5,11-50,4,M&A,"Jul 6, 2009","$400,000",Venture - Series Unknown,"$400,000",Venture - Series Unknown,"$2,094,920","$2,094,920",,2,Was Acquired,Private,,,,
Edgar Online,https://www.crunchbase.com/organization/edgar-online,"Financial Services, Media and Entertainment","Norwalk, Connecticut, United States","Edgar Online creates and distributes company data and public filings for equities, mutual funds and other publicly-traded assets.","27,297",1995,Active,,,,,,,,,1,51-100,4,M&A,"Jun 23, 2010","$2,000,000",Venture - Series Unknown,"$2,000,000",Venture - Series Unknown,"$19,000,000","$19,000,000",1,5,"Made Acquisitions, Was Acquired",Public,"May 26, 1999",,,
Jaxtr,https://www.crunchbase.com/organization/jaxtr,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Menlo Park, California, United States",Jaxtr enables users to receive calls from their friends through a VOIP connection and keep their personal phone numbers private.,"31,175","Oct 1, 2005",Active,,,,,,,,,3,11-50,4,M&A,"Jun 23, 2008","$10,000,000",Series B,"$10,000,000",Series B,"$22,500,000","$22,500,000",2,7,Was Acquired,Private,,,,
Siimpel Corporation,https://www.crunchbase.com/organization/siimpel-corporation,"Hardware, Information Technology, Software","Arcadia, California, United States",Siimpel Corporation applies high precision MEMS platform technology to enable the reduction in size of high-performance digital cameras.,"31,188",2000,Active,,,,,,,,,,1-10,9,M&A,"Dec 16, 2009","$2,675,736",Venture - Series Unknown,"$2,675,736",Venture - Series Unknown,"$73,039,609","$73,039,609",1,11,Was Acquired,Private,,,,
Mtime,https://www.crunchbase.com/organization/mtime,"Commerce and Shopping, Data and Analytics, Media and Entertainment, Software, Video","Beijing, Beijing, China","Mtime is an online database which includes information, trailers, posters, portraits, and reviews of Chinese films and TV serials.","31,864",2004,Active,,,,,,,,,1,51-100,4,M&A,"Aug 26, 2013","$10,000,000",Venture - Series Unknown,"$10,000,000",Venture - Series Unknown,"$14,000,000","$14,000,000",,3,Was Acquired,Private,,,,
Jobfox,https://www.crunchbase.com/organization/jobfox,"Community and Lifestyle, Internet Services, Professional Services","Mclean, Virginia, United States",Jobfox is a job search and career networking site connecting job seekers with employers.,"32,209","Mar 1, 2004",Active,,For Profit,,,,,,,2,51-100,4,M&A,"Dec 24, 2009","$2,000,000",Debt Financing,"$20,000,000",Series C,"$40,000,000","$42,000,000",3,4,Was Acquired,Private,,,,
Brilliant Telecommunications,https://www.crunchbase.com/organization/brilliant-telecom,"Hardware, Internet Services","Campbell, California, United States","Brilliant Telecommunications designs, develops and distributes network timing, management and synchronization solutions.","33,818",2004,Active,,,,,,,,,1,11-50,6,M&A,"May 28, 2010","$1,300,000",Debt Financing,"$7,600,000",Venture - Series Unknown,"$25,700,000","$28,426,018",2,8,Was Acquired,Private,,,,
Ripple TV,https://www.crunchbase.com/organization/ripple-tv,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing","El Segundo, California, United States",Ripple TV operates a national network of digital advertising screens targeting the areas of extended leisure time for people on-the-go.,"34,388",2006,Active,,For Profit,,,,,,,1,11-50,4,M&A,"Mar 25, 2009","$4,000,000",Series D,"$4,000,000",Series D,"$26,000,000","$26,000,000",2,2,Was Acquired,Private,,,,
Yardbarker Network,https://www.crunchbase.com/organization/yardbarker,"Internet Services, Media and Entertainment, Sports","New York, New York, United States",Yardbarker Network is a sports blogging community.,"35,349",Mar 2006,Active,,For Profit,,,,,,,4,1-10,5,M&A,"Sep 8, 2009","$1,500,000",Venture - Series Unknown,"$1,500,000",Venture - Series Unknown,"$8,334,000","$8,334,000",2,11,Was Acquired,Private,,,,
AdXpose,https://www.crunchbase.com/organization/adxpose,"Advertising, Data and Analytics, Sales and Marketing, Software","Seattle, Washington, United States",AdXpose provides SaaS-based digital advertising analytic solutions for advertisers and publishers.,"39,180",2005,Active,,,,,,,,,1,11-50,3,M&A,"Apr 4, 2011","$3,000,000",Series C,"$3,000,000",Series C,"$22,800,000","$22,800,000",2,2,Was Acquired,Private,,,,
Fotomoto,https://www.crunchbase.com/organization/fotomoto,"Commerce and Shopping, Content and Publishing, Media and Entertainment","San Francisco, California, United States",Fotomoto is an e-commerce system helping photographers to monetize their photos and sell them in a professional way via their own websites.,"39,667","Oct 1, 2008",Active,,,,,,,,,1,11-50,3,M&A,"May 26, 2011","$1,200,000",Series A,"$1,200,000",Series A,"$1,822,922","$1,822,922",1,5,Was Acquired,Private,,,,
Yield Software,https://www.crunchbase.com/organization/yield-software,"Internet Services, Sales and Marketing, Software","San Mateo, California, United States","Yield Software offers a web marketing suite that leverages natural search, paid search, and landing page optimization.","40,929",2007,Active,,,,,,,,,3,11-50,1,M&A,"Jun 4, 2008","$6,000,000",Series B,"$6,000,000",Series B,"$6,000,000","$6,000,000",1,2,Was Acquired,Private,,,,
UBmatrix,https://www.crunchbase.com/organization/ubmatrix,Software,"Redwood City, California, United States","UBmatrix provides XBRL-based software solutions enabling businesses to address FMIS, GRC and external reporting problems.","41,868",2005,Active,,,,,,,,,,11-50,4,M&A,"Aug 11, 2010","$4,298,799",Debt Financing,"$10,200,000",Series B,"$15,200,000","$22,066,483",1,1,Was Acquired,Private,,,,
Anagran,https://www.crunchbase.com/organization/anagran-inc,"Apps, Hardware, Internet Services, Media and Entertainment, Mobile, Software, Video","Sunnyvale, California, United States",Anagran offers flow-based traffic management products that eliminate the effects of network congestion.,"42,622",2004,Closed,,,,,,,,,1,51-100,4,M&A,"Sep 15, 2008","$8,600,000",Series D,"$8,600,000",Series D,"$42,600,000","$42,600,000",,5,Was Acquired,Private,,,,
Radar Networks,https://www.crunchbase.com/organization/radar-networks,"Advertising, Internet Services, Sales and Marketing","San Francisco, California, United States","Radar Networks makes Twine, an artificially intelligent personal web assistant that organizes information based on an auto-tagging engine.","42,883",2003,Active,,For Profit,,,,,,,1,11-50,4,M&A,"Nov 1, 2009","$3,000,000",Debt Financing,"$13,000,000",Series B,"$18,000,000","$24,000,000",1,7,Was Acquired,Private,,,,
SkillSoft,https://www.crunchbase.com/organization/skillsoft,"Internet Services, Software","Nashua, New Hampshire, United States","Skillsoft provides online learning and e-learning solutions for global enterprises, SMEs, governments and educational institutions.","43,612","Aug 8, 1997",Active,,For Profit,,,,,,,1,5001-10000,1,M&A,"Nov 2, 1999",,Venture - Series Unknown,,Venture - Series Unknown,,,1,1,"Made Acquisitions, Was Acquired",Private,,,,
NearbyNow,https://www.crunchbase.com/organization/nearbynow,"Commerce and Shopping, Mobile","Mountain View, California, United States",NearbyNow creates mobile shopping applications that help consumers find products near them at any time.,"43,900",2005,Active,,,,,,,,,2,11-50,3,M&A,"Apr 16, 2009","$11,750,000",Series C,"$11,750,000",Series C,"$19,250,000","$19,250,000",3,3,Was Acquired,Private,,,,
Kyte,https://www.crunchbase.com/organization/kyte,"Media and Entertainment, Mobile, Platforms, Software, Video","Zürich, Zurich, Switzerland","Kyte is an online, mobile video platform for companies to attract and monetize audiences by using social web capabilities and analytics.","44,281","Dec 1, 2006",Active,,For Profit,,,,,,,2,11-50,5,M&A,"Mar 1, 2012",,Seed,,Seed,"$23,350,000","$23,350,000",5,17,Was Acquired,Private,,,,
Lumidigm,https://www.crunchbase.com/organization/lumidigm,"Biotechnology, Commerce and Shopping, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering","Albuquerque, New Mexico, United States","Lumidigm provides biometric identity management solutions for point-of-sale (POS), civil ID and portable electronic device applications.","44,702","Jul 1, 2001",Active,,,,,,,,,1,11-50,4,M&A,"Apr 23, 2010","$2,099,997",Series D,"$2,099,997",Series D,"$19,448,997","$19,448,997",2,9,Was Acquired,Private,,,,
EnerNOC,https://www.crunchbase.com/organization/enernoc,"Energy, Sustainability","Boston, Massachusetts, United States","EnerNOC offers technology-enabled energy management solutions for commercial and industrial customers, utilities, and grid operators.","45,996",2001,Active,,For Profit,,,2,2,1,,2,1001-5000,5,M&A,"Jan 26, 2007","$15,000,000",Series C,"$15,000,000",Series C,"$28,879,000","$28,879,000",1,3,"Made Acquisitions, Was Acquired",Public,"May 18, 2007",,"$452,610,704","$97,500,000"
Podcast Ready,https://www.crunchbase.com/organization/podcast-ready,"Media and Entertainment, Music and Audio, Software","San Antonio, Texas, United States",Podcast Ready provides software and services that enable podcast subscribers to manage their programs and subscriptions.,"48,243",2005,Active,,,,,,,,,,,2,M&A,"Apr 14, 2010","$160,000",Series A,"$160,000",Series A,"$2,490,000","$2,490,000",,3,Was Acquired,Private,,,,
TargetCast Networks,https://www.crunchbase.com/organization/targetcast-networks,"Advertising, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Sales and Marketing, Video","San Ramon, California, United States",TargetCast Networks develops technology allowing venue operators to post their custom designed promotional messages directly onto TV sets.,"54,485",2001,Active,,For Profit,,,,,,,1,11-50,2,M&A,"Sep 30, 2009","$6,500,000",Series B,"$6,500,000",Series B,"$12,800,000","$12,800,000",1,2,"Made Acquisitions, Was Acquired",Private,,,,
Everdream,https://www.crunchbase.com/organization/everdream,"Internet Services, Media and Entertainment, Software","Fremont, California, United States",Everdream is a digital content agency providing on-demand personal computer and desktop management software services.,"59,313",1998,Active,,,,,,,,,2,51-100,5,M&A,"Sep 20, 2005","$20,000,000",Series F,"$20,000,000",Series F,"$105,699,999","$105,699,999",3,18,Was Acquired,Private,,,,
Revver,https://www.crunchbase.com/organization/revver,"Content and Publishing, Media and Entertainment, Video","Los Angeles, California, United States",Revver is a video sharing website hosting user-generated content and offering ad revenue share.,"59,581","Oct 15, 2004",Active,,For Profit,,,,,,,3,,3,M&A,"Jul 31, 2006",,Venture - Series Unknown,,Venture - Series Unknown,"$12,700,000","$12,700,000",1,6,Was Acquired,Private,,,,
Planet Metrics,https://www.crunchbase.com/organization/planet-metrics,Software,"San Bruno, California, United States","Planet Metrics provides carbon information management software that supports modeling, analytics and complex data visualization.","60,799",2007,Closed,,,,,,,,,2,1-10,1,M&A,"Nov 12, 2008","$2,300,000",Series A,"$2,300,000",Series A,"$2,300,000","$2,300,000",1,1,Was Acquired,Private,,,,
Epocrates,https://www.crunchbase.com/organization/epocrates,"Health Care, Mobile, Software","San Mateo, California, United States","Epocrates develops software that provides reference information about drugs and diseases, and diagnostic tools for healthcare professionals.","61,216",1998,Active,,,,,,,,,,251-500,3,M&A,"Jan 8, 2008",,Venture - Series Unknown,,Venture - Series Unknown,"$35,000,000","$35,000,000",3,6,"Made Acquisitions, Was Acquired",Public,"Feb 2, 2011",,"$356,518,144","$85,760,000"
Location Labs,https://www.crunchbase.com/organization/location-labs,"Data and Analytics, Hardware, Internet Services, Mobile, Navigation and Mapping, Privacy and Security","Emeryville, California, United States",Location Labs provides mobile security solutions for people worldwide.,"63,289",2000,Active,,For Profit,,,,,,,1,101-250,3,M&A,"Oct 1, 2005","$4,000,000",Series B,"$4,000,000",Series B,"$25,800,000","$25,800,000",,7,"Made Acquisitions, Was Acquired",Private,,,,
iList,https://www.crunchbase.com/organization/ilist,Commerce and Shopping,"Uppland, Uppsala Lan, Sweden",iList is a social classifieds service that enables its users to promote their listings via social networks.,"63,899",2008,Active,,For Profit,,,,,,,,11-50,1,M&A,"Aug 1, 2008","$1,500,000",Series A,"$1,500,000",Series A,"$1,500,000","$1,500,000",,3,Was Acquired,Private,,,,
Massive,https://www.crunchbase.com/organization/massive,"Advertising, Gaming, Sales and Marketing","New York, New York, United States",Massive is the developer of video game network for in-game advertising.,"65,040",1995,Active,,For Profit,,,,,,,1,,3,M&A,"Jan 19, 2005","$10,000,000",Series C,"$10,000,000",Series C,"$17,600,000","$17,600,000",4,7,Was Acquired,Private,,,,
PacketExchange,https://www.crunchbase.com/organization/packetexchange,"Internet Services, Software","London, England, United Kingdom",Global network services provider,"67,622",2001,Active,,For Profit,,,,,,,,11-50,2,M&A,"Jul 2, 2008","$12,000,000",Series B,"$12,000,000",Series B,"$15,000,000","$15,000,000",2,2,"Made Acquisitions, Was Acquired",Private,,,,
Increo Solutions,https://www.crunchbase.com/organization/increo-solutions,"Information Technology, Internet Services, Software","Mountain View, California, United States",Increo Solutions is a cloud storage and document sharing startup providing solutions for browser-viewable web documents.,"68,058","Mar 1, 2008",Active,,,,,,,,,1,11-50,1,M&A,"May 1, 2008","$500,000",Seed,"$500,000",Seed,"$500,000","$500,000",,1,Was Acquired,Private,,,,
TrustedID,https://www.crunchbase.com/organization/trustedid,"Government and Military, Internet Services, Privacy and Security","Palo Alto, California, United States",TrustedID is an identity protection company providing proactive identity protection solutions for corporations and government agencies.,"68,691",2005,Active,,,,,,,,,2,101-250,4,M&A,"Feb 4, 2010",,Venture - Series Unknown,,Venture - Series Unknown,"$25,000,000","$25,000,000",1,5,"Made Acquisitions, Was Acquired",Private,,,,
Focus Media,https://www.crunchbase.com/organization/focus-media-2,"Advertising, Media and Entertainment, Sales and Marketing","Singapore, Central Region, Singapore",Focus Media is a provider of product lines covering several media networks that aims at characteristic audiences.,"72,360",2003,Active,,For Profit,,,5,5,2,,1,5001-10000,3,M&A,"Sep 1, 2004",,Series D,,Series D,"$3,520,000","$3,520,000",,8,Was Acquired,Public,"Jul 13, 2005",,,
Vendio,https://www.crunchbase.com/organization/vendio,"Commerce and Shopping, Internet Services, Software","San Mateo, California, United States",Vendio Services is a SaaS-based platform that provides sales management software by subscription across multiple online sales channels.,"77,285",1999,Active,,For Profit,,,,,,,,51-100,2,M&A,"Jun 23, 2000","$27,800,000",Series C,"$27,800,000",Series C,"$37,400,000","$37,400,000",2,9,"Made Acquisitions, Was Acquired",Private,,,,
Game Trust,https://www.crunchbase.com/organization/game-trust,"Apps, Gaming, Media and Entertainment, Software","New York, New York, United States",Game Trust offers infrastructure for community and commerce apps in the online games and entertainment industry.,"79,891",2002,Active,,,,,,,,,,11-50,3,M&A,"Nov 15, 2005","$9,000,000",Series B,"$9,000,000",Series B,"$10,500,000","$10,500,000",2,9,Was Acquired,Private,,,,
Draytek Technologies,https://www.crunchbase.com/organization/draytek-technologies,Internet Services,"Hsinchu, T'ai-wan, Taiwan",Draytek Technologies is a provider of customized networking and remote access solutions for local markets.,"80,362",1997,Active,,For Profit,,,,,,,1,501-1000,1,IPO,"Jan 14, 2010","$350,000",Venture - Series Unknown,"$350,000",Venture - Series Unknown,"$350,000","$350,000",,1,,Public,"Jan 13, 2006",,,
Clipboard,https://www.crunchbase.com/organization/clipboard,"Internet Services, Media and Entertainment","Bellevue, Washington, United States",Clipboard is a web platform allowing users to gather links on various topics and store them online.,"81,400",2011,Active,,,,,,,,,,11-50,2,M&A,"Nov 7, 2011",,Seed,,Seed,,,,14,Was Acquired,Private,,,,
Power Integrations,https://www.crunchbase.com/organization/power-integrations,"Design, Internet Services, Manufacturing, Media and Entertainment, Software","San Jose, California, United States","Power Integrations designs, develops, markets, and manufactures high-voltage, analog integrated circuits.","87,572",1998,Active,,For Profit,,,1,1,1,,2,501-1000,1,IPO,"Feb 1, 2008","$6,000,000",Series A,"$6,000,000",Series A,"$6,000,000","$6,000,000",,2,Made Acquisitions,Public,"Dec 19, 1997",,,
Imago Scientific Instruments,https://www.crunchbase.com/organization/imago-scientific-instruments,"Data and Analytics, Design, Manufacturing","Madison, Wisconsin, United States",Imago Scientific Instruments manufactures metrology and analysis equipment for the microelectronic and general research markets.,"88,663",1999,Active,,For Profit,,,,,,,,,4,M&A,"Sep 11, 2009","$300,000",Debt Financing,"$933,057",Equity Crowdfunding,"$11,333,057","$11,633,057",3,6,Was Acquired,Private,,,,
CastTV,https://www.crunchbase.com/organization/casttv,"Internet Services, Media and Entertainment, Video","San Francisco, California, United States","CastTV, an internet video search and aggregation company, provides users with a daily catalogue of TV shows, movies and trending videos.","89,205",2006,Active,,,,,,,,,2,1-10,2,M&A,"Apr 25, 2007","$3,100,000",Series A,"$3,100,000",Series A,"$3,100,000","$3,100,000",1,4,Was Acquired,Private,,,,
Tacit Knowledge,https://www.crunchbase.com/organization/tacit-knowledge,"Commerce and Shopping, Software","San Francisco, California, United States",Tacit Knowledge is a Silicon Valley-based digital commerce consultancy that develops enterprise software to address extensive data problems.,"91,362",Dec 1997,Active,,For Profit,,,,,,,3,51-100,2,M&A,"Apr 20, 2004","$7,000,000",Series A,"$7,000,000",Series A,"$13,900,000","$13,900,000",3,5,Was Acquired,Private,,,,
Boxbe,https://www.crunchbase.com/organization/boxbe,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","San Francisco, California, United States","Boxbe is an integrated email helper enabling Gmail, Yahoo and AOL users to prioritize and reduce email overload.","93,068","Dec 16, 2005",Active,,For Profit,,,,,,,,1-10,1,M&A,"Jan 9, 2007","$1,500,000",Series A,"$1,500,000",Series A,"$1,500,000","$1,500,000",,2,Was Acquired,Private,,,,
Tiny Pictures,https://www.crunchbase.com/organization/tiny-pictures,"Content and Publishing, Media and Entertainment, Mobile","San Francisco, California, United States","Tiny Pictures is an online platform for users to upload, store and share photos with friends.","96,435","Aug 1, 2005",Active,,,,,,,,,1,1001-5000,3,M&A,"Feb 1, 2008","$7,200,000",Series B,"$7,200,000",Series B,"$11,200,000","$11,200,000",2,4,Was Acquired,Private,,,,
Social Project,https://www.crunchbase.com/organization/social-project,"Internet Services, Media and Entertainment","Santa Monica, California, United States","Social Project is a social networking site focused on the teen, young and adult social networking market.","97,664",2005,Active,,,,,,,,,3,,3,M&A,"Jan 18, 2007",,Venture - Series Unknown,,Venture - Series Unknown,"$47,500,000","$47,500,000",3,3,Was Acquired,Private,,,,
Homestead Technologies,https://www.crunchbase.com/organization/homestead-technologies,"Commerce and Shopping, Internet Services","Menlo Park, California, United States","Homestead Technologies provides website and e-commerce site creation, marketing, and hosting services for small businesses.","98,070",1996,Active,,For Profit,,,,,,,3,51-100,5,M&A,"Jul 30, 2002","$5,400,000",Series E,"$5,400,000",Series E,"$72,400,000","$72,400,000",2,7,Was Acquired,Private,,,,
IXI Mobile,https://www.crunchbase.com/organization/ixi-mobile,"Hardware, Software","Belmont, California, United States","IXI Mobile is a provider of wireless software solutions for network operators, manufacturers and consumers.","102,675",2000,Active,,For Profit,,,,,,,,101-250,4,M&A,"Jun 21, 2006",,Venture - Series Unknown,,Venture - Series Unknown,"$27,000,000","$27,000,000",2,8,Was Acquired,Private,,,,
Snapvine,https://www.crunchbase.com/organization/snapvine,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Music and Audio","Seattle, Washington, United States",Snapvine is a communications platform enabling people to leave voicemail messages online.,"104,956",2005,Active,,,,,,,,,1,11-50,2,M&A,"Sep 1, 2007","$10,000,000",Series B,"$10,000,000",Series B,"$12,000,000","$12,000,000",1,5,Was Acquired,Private,,,,
